"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"ATP6V1E1","1888.4946","2086.2209","2153.4653","1796.4095","2466.4808","2463.2177","4169.61","2374.8344","2208.1577"
"ATP6V1E2","99.8283","86.0166","135.0778","55.3858","109.9385","72.9665","89.0361","57.3951","55.7104"
"ATP6V1F","1383.3955","1380.0471","1330.2475","1492.7426","1808.7744","1091.1932","3135.3826","1139.5011","1051.7381"
"ATP6V1G1","3808.5861","3779.6578","4886.8458","4875.8594","5161.3252","1869.3182","9217.0714","3196.0265","2510.682"
"ATP6V1G2","10.9903","15.0034","31.3649","15.6608","43.5897","42.4641","29.7167","29.5806","32.0757"
"ATP6V1G3","0.4579","0.5075","24.7525","0","2.3145","0","21.3392","6.181","2.0258"
"ATP6V1H","1184.2015","1083.2008","1560.1132","997.3262","1382.9111","1244.9163","2309.7866","1253.8631","1231.7063"
"ATP7A","614.9971","813.2253","1393.918","480.5195","719.0366","692.5837","565.8572","918.3223","794.8017"
"ATP7B","462.5072","290.7819","387.553","886.1727","437.4397","204.8445","143.8558","410.596","246.4763"
"ATP8A1","1736.9204","2148.3863","3257.4257","1927.4255","1501.7219","667.7632","1019.1317","1189.8455","1522.7509"
"ATP8A2","2.7476","4.821","3.5361","32.0856","30.4742","2.6914","0.3679","2.649","5.7399"
"ATP8B1","4051.2009","3304.1684","2916.2023","1594.3239","3116.1944","1413.7141","3255.894","3321.8057","3122.1932"
"ATP8B2","1612.822","1704.0938","987.9774","906.4171","1391.3976","2736.244","759.014","1976.6004","2164.9399"
"ATP8B3","7.7848","20.8064","4.2433","6.1115","7.3292","9.2703","5.1508","9.713","19.9207"
"ATP8B4","86.5484","459.7704","275.8133","46.6005","533.4912","198.2656","894.7756","249.8896","808.9825"
"ATP8B5P","34.8025","40.3441","38.1895","27.5019","27.3882","34.0909","69.9043","22.0751","19.2454"
"ATP9A","3185.3463","3387.3813","5034.6535","3433.1551","3295.8417","4177.0335","1358.7196","3618.1015","3689.0414"
"ATP9B","644.7624","660.2222","774.3989","644.385","681.619","587.0215","413.1714","644.1501","665.4861"
"ATPAF1","1191.858","1059.479","1380.8557","1413.6631","1251.0774","1409.3182","1411.2288","1218.4371","972.7711"
"ATPAF2","402.9765","305.4987","326.7327","392.2842","371.8623","234.1507","557.7631","272.8477","254.242"
"ATPBD4","77.3898","131.1817","103.2532","99.3125","91.0368","110.3469","215.2318","90.5077","101.9669"
"ATPIF1","1531.7687","1308.5188","1572.843","1922.4599","1799.5203","1158.7919","3474.2458","1421.6336","1052.7577"
"ATR","578.3629","702.8499","573.5502","702.4446","546.9925","469.1986","396.6152","696.2472","752.9345"
"ATRIP","247.6611","242.1204","259.1938","309.1711","257.5802","115.1884","212.2737","210.6623","206.1217"
"ATRN","1996.5655","1721.3479","2237.6238","1787.6241","1713.1125","2001.1962","968.3591","2017.2185","1962.3567"
"ATRNL1","84.2587","65.7177","59.4059","24.4461","162.0147","588.8158","230.6843","421.6336","842.4088"
"ATRX","1879.336","2131.8935","2668.3168","2507.2574","1761.7169","3978.1699","1062.9139","3186.3135","3256.8638"
"ATXN1","1104.0641","1421.1777","835.9264","786.0963","933.5132","2445.5742","763.429","1366.4459","1617.2898"
"ATXN10","2287.8077","2502.3486","2798.4441","2646.2949","2580.6626","2268.5407","4016.5563","2167.7704","2346.9272"
"ATXN1L","1182.8277","1276.2942","1360.0283","853.4263","949.7147","1438.0981","369.7829","1273.2892","1432.939"
"ATXN2","764.7396","856.8679","791.372","1065.317","804.673","1017.9426","584.989","941.7219","1011.5658"
"ATXN2L","2043.2742","2180.8646","1616.6902","2632.9259","1555.7268","1431.8182","862.3988","1676.3797","1962.6943"
